Date,Token,Type,Price,Amount,Total,Currency
2025-02-25,USDT,sell,0.9987,1450,1448.12,USD
2025-02-25,SOL,buy,145,10,1450.00,USD
2025-02-18,USDT,sell,1,600,600.00,USD
2025-02-02,ATOM,buy,0,26,0.00,USD
2024-12-16,USDT,buy,0.9996,31500,31487.40,USD
2024-12-16,BTC,sell,105000,0.3,31500.00,USD
2024-12-14,USDT,buy,1.0001,1173,1173.12,USD
2024-12-14,AAVE,sell,391,3,1173.00,USD
2024-08-30,USDT,sell,0.9999,400,399.96,USD
2024-08-28,USDT,sell,1.0004,435,435.17,USD
2024-08-09,USDT,buy,1.0001,1076.96,1077.07,USD
2024-08-07,USDT,sell,1.0002,360,360.07,USD
2024-08-07,NEAR,buy,3.6,100,360.00,USD
2024-08-05,USDT,sell,1.0007,170,170.12,USD
2024-08-05,TAO,buy,170,1,170.00,USD
2024-08-05,USDT,sell,1,400,400.00,USD
2024-08-04,USDT,sell,0.9993,440,439.69,USD
2024-07-07,USDT,sell,0.9999,584,583.94,USD
2024-07-07,ATOM,buy,5.84,100,584.00,USD
2024-07-05,USDT,sell,1.0001,420,420.04,USD
2024-07-05,USDT,sell,1.0001,430,430.04,USD
2024-07-05,NEAR,buy,4.3,100,430.00,USD
2024-07-04,USDT,sell,0.9993,540,539.62,USD
2024-07-04,USDT,sell,0.9994,462,461.72,USD
2024-07-04,LINK,buy,13.2,35,462.00,USD
2024-07-04,USDT,sell,0.9995,900,899.55,USD
2024-07-04,TAO,buy,225,4,900.00,USD
2024-07-03,USDT,sell,0.999,510,509.49,USD
2024-07-03,TAO,buy,255,2,510.00,USD
2024-07-02,USDT,sell,0.9987,189,188.75,USD
2024-06-27,USDT,sell,0.9988,475,474.43,USD
2024-06-18,USDT,sell,0.9999,988,987.90,USD
2024-06-18,AAVE,buy,76.02,13,988.26,USD
2024-06-18,USDT,sell,0.9999,640,639.94,USD
2024-06-18,ATOM,buy,6.4,100,640.00,USD
2024-06-17,USDT,sell,0.9994,285,284.83,USD
2024-06-17,TAO,buy,285,1,285.00,USD
2024-06-17,USDT,sell,0.9995,290,289.86,USD
2024-06-17,TAO,buy,290,1,290.00,USD
2024-06-16,USDT,sell,0.9993,299,298.79,USD
2024-06-16,TAO,buy,299,1,299.00,USD
2024-06-14,USDT,sell,0.9995,720,719.64,USD
2024-06-11,USDT,sell,0.9996,334,333.87,USD
2024-06-11,TAO,buy,334,1,334.00,USD
2024-06-09,USDT,sell,0.9999,361,360.96,USD
2024-06-09,TAO,buy,361,1,361.00,USD
2024-06-07,USDT,sell,0.9992,387,386.69,USD
2024-06-07,USDT,sell,0.9992,763,762.39,USD
2024-06-07,USDT,sell,0.9994,350,349.79,USD
2024-06-07,TAO,buy,350,1,350.00,USD
2024-06-07,USDT,sell,0.9993,1000,999.30,USD
2024-06-01,USDT,sell,0.9991,674,673.39,USD
2024-06-01,VET,buy,0.0337,20000,674.00,USD
2024-05-23,USDT,sell,0.9996,700,699.72,USD
2024-05-23,VET,buy,0.03531,20000,706.20,USD
2024-05-14,USDT,sell,0.9994,934,933.44,USD
2024-05-14,TAO,buy,350,1,350.00,USD
2024-05-14,USDT,sell,0.9994,500,499.70,USD
2024-05-13,USDT,sell,0.9998,500,499.90,USD
2024-05-08,USDT,sell,0.9998,353,352.93,USD
2024-05-08,VET,buy,0.0353,10000,353.00,USD
2024-05-06,USDT,sell,1,180,180.00,USD
2024-05-06,VET,buy,0.03594,5000,179.70,USD
2024-05-06,USDT,sell,1.0001,182,182.02,USD
2024-05-06,VET,buy,0.0364,5000,182.00,USD
2024-05-04,USDT,sell,1.0003,1000,1000.30,USD
2024-05-04,ATOM,buy,8.685,115.14,999.99,USD
2024-05-04,USDT,buy,1.0001,16010,16011.60,USD
2024-05-04,BTC,sell,64043,0.25,16010.75,USD
2024-05-04,USDT,sell,1.0005,1000,1000.50,USD
2024-05-01,USDT,sell,0.9989,2850,2846.87,USD
2024-05-01,BTC,buy,57000,0.05,2850.00,USD
2024-05-01,USDT,sell,0.9989,5900,5893.51,USD
2024-05-01,BTC,buy,59000,0.1,5900.00,USD
2024-05-01,USDT,sell,0.9989,500,499.45,USD
2024-05-01,USDT,sell,0.9989,1000,998.90,USD
2024-04-30,USDT,sell,0.9992,1125,1124.10,USD
2024-04-30,TAO,buy,375,3,1125.00,USD
2024-04-24,USDT,buy,1.0001,522,522.05,USD
2024-04-17,USDT,sell,1.0003,6000,6001.80,USD
2024-04-17,BTC,buy,60000,0.1,6000.00,USD
2024-04-16,USDT,buy,1.0004,1500,1500.60,USD
2024-04-16,TAO,sell,500,3,1500.00,USD
2024-04-14,TAO,buy,418,1,418.00,USD
2024-04-13,USDT,sell,1.0007,500,500.35,USD
2024-04-13,NEAR,buy,5.1,98,499.80,USD
2024-04-13,USDT,sell,1.0006,500,500.30,USD
2024-04-13,USDT,sell,1.0005,500,500.25,USD
2024-04-13,USDT,sell,1.0004,25600,25610.24,USD
2024-04-13,BTC,buy,64000,0.4,25600.00,USD
2024-04-13,USDT,sell,1.0009,19500,19517.55,USD
2024-04-13,BTC,buy,65000,0.3,19500.00,USD
2024-04-13,USDT,sell,1.0001,500,500.05,USD
2024-04-12,USDT,sell,1.0003,1500,1500.45,USD
2024-04-12,USDT,buy,1.0001,87330,87338.73,USD
2024-03-30,TAO,buy,468.21,1,468.21,USD
2024-03-29,TAO,buy,509.01,1,509.01,USD
2024-03-20,SOL,buy,166.19,3,498.57,USD
2024-03-20,LINK,buy,16.56,30.22,500.44,USD
2024-03-19,NEAR,buy,6.315,15.8,99.78,USD
2024-03-12,KALIS,buy,0.1225,4077,499.43,USD
2024-03-02,NEAR,sell,4.02,24.8,99.70,USD
2024-03-01,NEAR,buy,3.98,25.1,99.90,USD
2024-02-28,NEAR,buy,3.9,128.2,499.98,USD
2024-02-06,NEAR,buy,2.736,3.6,9.85,USD
2023-11-06,NEO,buy,12.5,50,625.00,USD
2023-08-18,BTC,buy,26000,2.3,59800.00,USD
2023-08-12,CRO,buy,0.0572,18000,1029.60,USD
2023-08-12,ETH,buy,1847.61,78,144113.58,USD
2021-11-19,VET,buy,0.132,20000,2640.00,USD
2024-03-28,KALIS,sell,0.1225,4077,499.43,USD
2024-03-28,USDT,buy,1,499.4325,499.43,USD
